date,open,high,low,close,volume,change,change_percent
2025-08-08,41283.6992,42033.9219,41248.0508,41820.4805,183300000,,
2025-08-12,42098.3203,42999.7109,42083.5781,42718.1719,176100000,,
2025-08-13,43090.9102,43451.4609,43008.1992,43274.6719,154100000,,
2025-08-14,43129.1797,43199.8281,42606.7305,42649.2617,127800000,,
2025-08-15,42866.3789,43405.4297,42736.8594,43378.3086,134500000,,
2025-08-18,43452.8984,43835.1211,43390.2188,43714.3086,124200000,,
2025-08-19,43846.5508,43876.4219,43411.9688,43546.2891,117100000,,
2025-08-20,43400.6602,43425.7812,42724.1484,42888.5508,116700000,,
2025-08-21,42783.2617,42926.1094,42564.3008,42610.1719,103100000,,
2025-08-22,42629.8086,42720.5703,42331.3906,42633.2891,97800000,,
2025-08-25,42977.2695,43201.4219,42681.3711,42807.8203,102200000,,
2025-08-26,42619.6602,42703.2695,42137.6211,42394.3984,162600000,,
2025-08-27,42476.0898,42628.0391,42270.1797,42520.2695,108400000,,
2025-08-28,42308.1406,42828.7891,42299.7891,42828.7891,112700000,,
2025-08-29,42774.2891,42807.0312,42611.3086,42718.4688,114900000,,
2025-09-01,42362.7109,42454.9883,41835.1719,42188.7891,96600000,,
2025-09-02,42299.6289,42473.6719,42084.7812,42310.4883,99800000,,
2025-09-03,42085.6602,42293.5391,41863.1992,41938.8906,130200000,,
2025-09-04,42093.6992,42608.8008,42066.5898,42580.2695,110300000,,
2025-09-05,42983.4688,43220.9414,42783.5391,43018.75,118300000,,
2025-09-08,43451.0703,43838.6016,43343.5781,43643.8086,115500000,,
2025-09-09,43907.5508,44185.7305,43452.7383,43459.2891,117500000,,
2025-09-10,43513.1602,43848.7695,43509.0195,43837.6719,115700000,,
2025-09-11,43876.2188,44396.9492,43870.5391,44372.5,107300000,,
2025-09-12,44803.3008,44888.0195,44548.5703,44768.1211,124900000,,
2025-09-16,44948.8516,45055.3789,44616.3203,44902.2695,111700000,,
2025-09-17,44751.8398,45033.3398,44612.0703,44790.3789,104600000,,
2025-09-18,44910.5,45508.6719,44815.3984,45303.4297,113700000,,
2025-09-19,45634.2891,45852.75,44495.4609,45045.8086,208600000,,
2025-09-22,45193.7695,45757.7383,45193.7695,45493.6602,116600000,,
2025-09-24,45484.4102,45693.2812,45205.4688,45630.3086,131700000,,
2025-09-25,45600.0703,45824.6914,45503.3086,45754.9297,127200000,,
2025-09-26,45634.1992,45766.7695,45354.9883,45354.9883,147500000,,
2025-09-29,45113.2891,45152.6992,44890.1992,45043.75,130500000,,
2025-09-30,45054.9609,45126.2305,44733.6016,44932.6289,160600000,,
2025-10-01,44831.9492,44874.4219,44357.6484,44550.8516,136700000,,
2025-10-02,44736.0312,45125.9609,44659.2188,44936.7305,131100000,,
2025-10-03,45042.5391,45778.6602,45042.5391,45769.5,117600000,,
2025-10-06,46636.0703,48150.0391,46592.9883,47944.7617,178300000,,
2025-10-07,48281.1211,48527.3281,47904.3789,47950.8789,154200000,,
2025-10-08,47925.2188,48181.1211,47728.2695,47734.9883,142200000,,
2025-10-09,48035.4219,48597.0781,47995.2188,48580.4414,138500000,,
2025-10-10,48510.7188,48510.7188,47962.6094,48088.8008,150700000,,
2025-10-14,47446.7305,47865.6484,46544.0508,46847.3203,170300000,,
2025-10-15,47002.3008,47774.8281,46910.8281,47672.6719,118400000,,
2025-10-16,48107.4414,48317.3398,47937.7188,48277.7383,121100000,,
2025-10-17,47820.9688,48140.8984,47494.3086,47582.1484,124800000,,
2025-10-20,48332.7109,49185.5,48254.8281,49185.5,121000000,,
2025-10-21,49675.4297,49945.9492,49127.1992,49316.0586,124500000,,
2025-10-22,49252.0312,49458.2812,48613.6992,49307.7891,141100000,,
2025-10-23,48866.5781,48866.5781,48399.0508,48641.6094,107600000,,
2025-10-24,49095.2695,49435.3086,48965.7812,49299.6484,109100000,,
2025-10-27,49905.8008,50549.6016,49838.9805,50512.3203,122100000,,
2025-10-28,50357.1484,50485.8008,50107.7695,50219.1797,119500000,,
2025-10-29,50453.6406,51412.9688,50365.6211,51307.6484,129700000,,
2025-10-30,51146.2695,51657.2812,50972.5586,51325.6094,230900000,,
2025-10-31,51629.8008,52411.3398,51613.0312,52411.3398,180300000,,
2025-11-04,52294.3086,52636.8711,51497.1992,51497.1992,190100000,,
2025-11-05,51291.3906,51422.4219,49073.5781,50212.2695,219700000,,
2025-11-06,50792.5508,51248.2812,50594.1914,50883.6797,171300000,,
2025-11-07,50524.3086,50642.7891,49640.5586,50276.3711,146700000,,
2025-11-10,50645.2695,50969.5,50392.4414,50911.7617,129700000,,
2025-11-11,51314.0391,51513.1602,50581.1719,50842.9297,125900000,,
2025-11-12,50988.5312,51072.2617,50537.5,51063.3086,150400000,,
2025-11-13,51013.1484,51338.8906,50954.2695,51281.8281,135700000,,
2025-11-14,50767.7383,50767.7383,50246.6016,50376.5312,149300000,,
2025-11-17,50282.3906,50398.1602,49845.8594,50323.9102,126000000,,
2025-11-18,49812.9492,49971.5508,48661.5195,48702.9805,137400000,,
2025-11-19,48822.8789,49087.1094,48235.3008,48537.6992,136500000,,
2025-11-20,49129.2891,50574.8203,49113.3906,49823.9414,139400000,,
2025-11-21,49251.2617,49459.5898,48490.0312,48625.8789,212200000,,
2025-11-25,49113.8203,49182.3203,48511.9492,48659.5195,144500000,,
2025-11-26,49012.25,49749.5898,48964.1914,49559.0703,134100000,,
2025-11-27,49868.7891,50322.1406,49865.1719,50167.1016,99300000,,
2025-11-28,50218.9609,50258.25,49989.5391,50253.9102,98200000,,
2025-12-01,50318.5898,50366.7383,49215.9609,49303.2812,118200000,,
2025-12-02,49494.5781,49636.7891,49243.5508,49303.4492,127100000,,
2025-12-03,49540.6406,50138.6016,49521.2305,49864.6797,119500000,,
2025-12-04,49942.9414,51028.4219,49910.0586,51028.4219,127300000,,
2025-12-05,50530.3398,50634.8516,50215.4102,50491.8711,119300000,,
2025-12-08,50643.0898,50678.0508,50224.6484,50581.9414,104400000,,
2025-12-09,50677.3594,50793.6914,50417.1094,50655.1016,107100000,,
2025-12-10,50878.6602,51107.7695,50329.2695,50602.8008,125100000,,
2025-12-11,50818.3906,50875.9805,49926.2695,50148.8203,109900000,,
2025-12-12,50480.2305,51127.6914,50457.4219,50836.5508,152200000,,
2025-12-15,50352.0898,50432.1016,49965.6797,50168.1094,121900000,,
2025-12-16,50051.2383,50051.2383,49355.8711,49383.2891,124600000,,
2025-12-17,49413.1914,49571.5,49077.8086,49512.2812,113200000,,
2025-12-18,49058.3086,49169.7891,48643.7812,49001.5,116200000,,
2025-12-19,49387.7109,49766.9609,49257.1484,49507.2109,163300000,,
2025-12-22,50084.5508,50590.8789,49982.1992,50402.3906,112900000,,
2025-12-23,50374.4805,50544.5586,50264.4219,50412.8711,92700000,,
2025-12-24,50475.4805,50636.9492,50323.9219,50344.1016,83200000,,
2025-12-25,50450.1797,50510.1094,50283.7617,50407.7891,58300000,,
2025-12-26,50527.1289,50941.8906,50527.1289,50750.3906,81100000,,
2025-12-29,50691.2188,50707.2305,50347.6484,50526.9219,98000000,,
2025-12-30,50312.8516,50534.6406,50198.9688,50339.4805,93700000,,
2026-01-05,51010.2812,52033.2383,50995.6719,51832.8008,139400000,,
2026-01-06,52157.2188,52523.7695,52024.6211,52518.0781,151900000,,
2026-01-07,52144.6406,52404.1094,51830.3984,51961.9805,138600000,,
2026-01-08,51769.8281,51866.1914,51052.8281,51117.2617,135400000,,
2026-01-09,51367.9805,51986.9102,51189.1406,51939.8906,133100000,,
2026-01-13,52808.2891,53814.7891,52741.6406,53549.1602,168500000,,
2026-01-14,53827.2383,54487.3203,53792.6797,54341.2305,144500000,,
2026-01-15,54039.3984,54153.6094,53709.8711,54110.5,150900000,,
2026-01-16,54071.2812,54130.6016,53706.7891,53936.1719,144300000,,
2026-01-19,53390.0508,53583.5703,53091.4492,53583.5703,122900000,,
2026-01-20,53348.5898,53408.3516,52852.8984,52991.1016,126800000,,
2026-01-21,52228.0781,52848.7812,52194.8086,52774.6406,139000000,,
2026-01-22,53327.3906,53922.5312,53242.3789,53688.8906,150900000,,
2026-01-23,53898.4492,54050.8398,53603.6797,53846.8711,129500000,,
2026-01-26,53023.2812,53138.6719,52656.0,52885.25,138300000,,
2026-01-27,52847.5391,53334.0312,52637.6602,53333.5391,136700000,,
2026-01-28,53023.8789,53507.1797,52788.1016,53358.7109,149800000,,
2026-01-29,53301.2617,53742.6914,52990.4219,53375.6016,154500000,,
2026-01-30,53434.7305,53590.2383,52923.1211,53322.8516,156800000,,
2026-02-02,53575.3711,54247.1484,52655.1797,52655.1797,153800000,,
2026-02-03,53332.1797,54782.8281,53307.7383,54720.6602,156900000,,
2026-02-04,54250.4102,54459.4102,53965.5117,54293.3594,186300000,,
2026-02-05,54289.0508,54459.0781,53653.0586,53818.0391,213200000,,
2026-02-06,53435.3711,54253.6797,52950.1484,54253.6797,188900000,,
2026-02-09,55130.6289,57337.0703,55018.5703,56363.9414,205000000,,
2026-02-10,56812.0117,57960.1914,56812.0117,57650.5391,191500000,,
2026-02-12,57864.7383,58015.0781,57554.4883,57639.8398,190000000,,
2026-02-13,57197.3281,57407.25,56652.4805,56941.9688,210000000,,
2026-02-16,57212.9688,57219.1992,56748.1797,56806.4102,137400000,,
2026-02-17,56819.3711,56926.2383,56135.1211,56566.4883,132600000,,
2026-02-18,56734.2695,57392.8906,56734.2695,57143.8398,130100000,,
2026-02-19,57472.0781,57709.8203,57362.0117,57467.8281,135500000,,
2026-02-20,56979.7383,56979.7383,56680.8789,56825.6992,152400000,,
2026-02-24,56764.1406,57421.6719,56732.9297,57321.0898,157800000,,
2026-02-25,57695.3984,58875.1719,57656.5,58583.1211,167100000,,
2026-02-26,58995.3906,59332.4297,58577.8398,58753.3906,155300000,,
2026-02-27,58606.0312,58924.1719,58130.5703,58850.2695,192400000,,
2026-03-02,57976.1992,58365.2109,57285.7695,58057.2383,162400000,,
2026-03-03,57729.8008,57890.7617,56091.5391,56279.0508,179000000,,
2026-03-04,55470.8789,55701.2695,53618.1992,54245.5391,214000000,,
2026-03-05,55204.1602,56619.9805,54910.3281,55278.0586,184900000,,
2026-03-06,54674.6016,55686.5586,54513.4297,55620.8398,142800000,,
2026-03-09,54608.6289,54608.6289,51407.6602,52728.7188,219400000,,
2026-03-10,53524.0898,54694.8906,53487.1914,54248.3906,162500000,,
2026-03-11,54917.9297,55745.3789,54882.5781,55025.3711,146900000,,
2026-03-12,54387.8984,54733.0781,53796.0117,54452.9609,154100000,,
2026-03-13,53587.3008,54065.3086,53286.6914,53819.6094,169000000,,
2026-03-16,53627.8594,53983.5117,53113.9492,53751.1484,128800000,,
2026-03-17,54286.2617,54388.4297,53482.5898,53700.3906,117800000,,
2026-03-18,54148.8398,55239.3984,54148.8398,55239.3984,136700000,,
2026-03-19,54287.8008,54333.0195,53190.1797,53372.5312,200600000,,
2026-03-23,52468.7188,52479.8086,50688.7617,51515.4883,177100000,,
2026-03-24,52380.6016,52701.9883,51645.1484,52252.2812,131800000,,
2026-03-25,53015.8008,54022.8789,53015.8008,53749.6211,133700000,,
2026-03-26,53855.1289,54175.8008,53176.7695,53603.6484,124500000,,
2026-03-27,53239.5898,53714.8984,52516.9219,53373.0703,170500000,,
2026-03-30,52054.6797,52054.6797,50566.9883,51885.8516,183100000,,
2026-03-31,51382.5312,52169.0117,50558.9102,51063.7188,174500000,,
2026-04-01,51959.4688,53739.6797,51902.8398,53739.6797,165900000,,
2026-04-02,54066.8281,54258.4805,52273.0703,52463.2695,163200000,,
2026-04-03,53039.3984,53426.3086,52925.1016,53123.4883,104100000,,
2026-04-06,53205.9297,54039.3398,53205.9297,53413.6797,102500000,,
2026-04-07,53571.2812,53916.3516,53156.9414,53429.5586,118800000,,
2026-04-08,54386.6484,56424.6289,54380.0195,56308.4219,186700000,,
2026-04-09,56199.8594,56406.4883,55763.0508,55895.3203,154700000,,
